ID;Kaynak;İcerik;Kategori
13;Madde 60;Yıllık ücretli izinlerin, yürütülen işlerin niteliğine göre yıl boyunca hangi dönemlerde kullanılacağı, izinlerin ne suretle ve kimler tarafından verileceği veya sıraya bağlı tutulacağı, yıllık izninin faydalı olması için işveren tarafından alınması gereken tedbirler ve izinlerin kullanılması konusuna ilişkin usuller ve işverence tutulması zorunlu kayıtların şekli Çalışma ve Sosyal Güvenlik Bakanlığı tarafından hazırlanacak bir yönetmelikle gösterilir.;Yıllık İzin ve Dinlenme Süreleri
14;Madde 68;"Günlük çalışma süresinin ortalama bir zamanında o yerin gelenekleri ve işin gereğine göre ayarlanmak suretiyle işçilere; a) Dört saat veya daha kısa süreli işlerde onbeş dakika, b) Dört saatten fazla ve yedibuçuk saate kadar (yedibuçuk saat dahil) süreli işlerde yarım saat, c) Yedibuçuk saatten fazla süreli işlerde bir saat, ara dinlenmesi verilir. Bu dinlenme süreleri en az olup aralıksız verilir. Ancak bu süreler, iklim, mevsim, o yerdeki gelenekler ve işin niteliği göz önünde tutularak sözleşmeler ile aralı olarak kullandırılabilir. Dinlenmeler bir işyerinde işçilere aynı veya değişik saatlerde kullandırılabilir. Ara dinlenmeleri çalışma süresinden sayılmaz.";Yıllık İzin ve Dinlenme Süreleri
15;Ek Madde 2;"İşçiye; evlenmesi veya evlat edinmesi ya da ana veya babasının, eşinin, kardeşinin, çocuğunun ölümü hâlinde üç gün, eşinin doğum yapması hâlinde ise beş gün ücretli izin verilir. İşçilerin en az yüzde yetmiş oranında engelli veya süreğen hastalığı olan çocuğunun tedavisinde, hastalık raporuna dayalı olarak ve çalışan ebeveynden sadece biri tarafından kullanılması kaydıyla, bir yıl içinde toptan veya bölümler hâlinde on güne kadar ücretli izin verilir";Yıllık İzin ve Dinlenme Süreleri
16;Madde 5;İş ilişkisinde dil, ırk, renk, cinsiyet, engellilik, siyasal düşünce, felsefî inanç, din ve mezhep ve benzeri sebeplere dayalı ayrım yapılamaz. İşveren, esaslı sebepler olmadıkça tam süreli çalışan işçi karşısında kısmî süreli çalışan işçiye, belirsiz süreli çalışan işçi karşısında belirli süreli çalışan işçiye farklı işlem yapamaz. İşveren, biyolojik veya işin niteliğine ilişkin sebepler zorunlu kılmadıkça, bir işçiye, iş sözleşmesinin yapılmasında, şartlarının oluşturulmasında, uygulanmasında ve sona ermesinde, cinsiyet veya gebelik nedeniyle doğrudan veya dolaylı farklı işlem yapamaz. Aynı veya eşit değerde bir iş için cinsiyet nedeniyle daha düşük ücret kararlaştırılamaz. İşçinin cinsiyeti nedeniyle özel koruyucu hükümlerin uygulanması, daha düşük bir ücretin uygulanmasını haklı kılmaz.;Mobbing ve Çalışma Koşulları
17;Madde 22;İşveren, iş sözleşmesiyle veya iş sözleşmesinin eki niteliğindeki personel yönetmeliği ve benzeri kaynaklar ya da işyeri uygulamasıyla oluşan çalışma koşullarında esaslı bir değişikliği ancak durumu işçiye yazılı olarak bildirmek suretiyle yapabilir. Bu şekle uygun olarak yapılmayan ve işçi tarafından altı işgünü içinde yazılı olarak kabul edilmeyen değişiklikler işçiyi bağlamaz. İşçi değişiklik önerisini bu süre içinde kabul etmezse, işveren değişikliğin geçerli bir nedene dayandığını veya fesih için başka bir geçerli nedenin bulunduğunu yazılı olarak açıklamak ve bildirim süresine uymak suretiyle iş sözleşmesini feshedebilir. İşçi bu durumda 17 ila 21 inci madde hükümlerine göre dava açabilir.;Mobbing ve Çalışma Koşulları
18;Madde 30;İşverenler, elli veya daha fazla işçi çalıştırdıkları özel sektör işyerlerinde yüzde üç engelli, kamu işyerlerinde ise yüzde dört engelli ve yüzde iki eski hükümlü işçiyi veya 21/6/1927 tarihli ve 1111 sayılı Askerlik Kanunu veya 16/6/1927 tarihli ve 1076 sayılı Yedek Subaylar ve Yedek Askeri Memurlar Kanunu kapsamına giren ve askerlik hizmetini yaparken 12/4/1991 tarihli ve 3713 sayılı Terörle Mücadele Kanununun 21 inci maddesinde sayılan terör olaylarının sebep ve tesiri sonucu malul sayılmayacak şekilde yaralananları meslek, beden ve ruhi durumlarına uygun işlerde çalıştırmakla yükümlüdürler. Aynı il sınırları içinde birden fazla işyeri bulunan işverenin bu kapsamda çalıştırmakla yükümlü olduğu işçi sayısı, toplam işçi sayısına göre hesaplanır.;İş Sağlığı ve Güvenliği
19;Madde 71;"On beş yaşını doldurmamış çocukların çalıştırılması yasaktır. Ancak, on dört yaşını doldurmuş ve zorunlu ilköğretim çağını tamamlamış olan çocuklar; bedensel, zihinsel, sosyal ve ahlaki gelişmelerine ve eğitime devam edenlerin okullarına devamına engel olmayacak hafif işlerde çalıştırılabilirler. On dört yaşını doldurmamış çocuklar ise bedensel, zihinsel, sosyal ve ahlaki gelişmelerine ve eğitime devam edenlerin okullarına devamına engel olmayacak sanat, kültür ve reklam faaliyetlerinde yazılı sözleşme yapmak ve her bir faaliyet için ayrı izin almak şartıyla çalıştırılabilirler. Çocuk ve genç işçilerin işe yerleştirilmelerinde ve çalıştırılabilecekleri işlerde güvenlik, sağlık, bedensel, zihinsel ve psikolojik gelişmeleri, kişisel yatkınlık ve yetenekleri dikkate alınır. Çocuğun gördüğü iş onun okula gitmesine, mesleki eğitiminin devamına engel olamaz, onun derslerini düzenli bir şekilde izlemesine zarar veremez.";İş Sağlığı ve Güvenliği
20;Madde 74;Kadın işçilerin doğumdan önce sekiz ve doğumdan sonra sekiz hafta olmak üzere toplam onaltı haftalık süre için çalıştırılmamaları esastır. Çoğul gebelik halinde doğumdan önce çalıştırılmayacak sekiz haftalık süreye iki hafta süre eklenir. Ancak, sağlık durumu uygun olduğu takdirde, doktorun onayı ile kadın işçi isterse doğumdan önceki üç haftaya kadar işyerinde çalışabilir. Bu durumda, kadın işçinin çalıştığı süreler doğum sonrası sürelere eklenir. (Ek cümle: 13/2/2011-6111/76 md.) Kadın işçinin erken doğum yapması halinde ise doğumdan önce kullanamadığı çalıştırılmayacak süreler, doğum sonrası sürelere eklenmek suretiyle kullandırılır. (Ek cümleler: 29/1/2016-6663/22 md.) Doğumda veya doğum sonrasında annenin ölümü hâlinde, doğum sonrası kullanılamayan süreler babaya kullandırılır. Üç yaşını doldurmamış çocuğu evlat edinen eşlerden birine veya evlat edinene çocuğun aileye fiilen teslim edildiği tarihten itibaren sekiz hafta analık hâli izni kullandırılır;İş Sağlığı ve Güvenliği
21;Madde 1;Bu Kanunun amacı işverenler ile bir iş sözleşmesine dayanarak çalıştırılan işçilerin çalışma şartları ve çalışma ortamına ilişkin hak ve sorumluluklarını düzenlemektir. Bu Kanun, 4 üncü Maddedeki istisnalar dışında kalan bütün işyerlerine, bu işyerlerinin işverenleri ile işveren vekillerine ve işçilerine faaliyet konularına bakılmaksızın uygulanır. İşyerleri, işverenler, işveren vekilleri ve işçiler, 3 üncü maddedeki bildirim gününe bakılmaksızın bu Kanun hükümleri ile bağlı olurlar.;Genel Bilgilendirme ve Diğer
22;Madde 3;Bu Kanunun kapsamına giren nitelikte bir işyerini kuran, her ne suretle olursa olsun devralan, çalışma konusunu kısmen veya tamamen değiştiren veya herhangi bir sebeple faaliyetine son veren ve işyerini kapatan işveren, işyerinin unvan ve adresini, çalıştırılan işçi sayısını, çalışma konusunu, işin başlama veya bitme gününü, kendi adını ve soyadını yahut unvanını, adresini, varsa işveren vekili veya vekillerinin adı, soyadı ve adreslerini bir ay içinde bölge müdürlüğüne bildirmek zorundadır.;Genel Bilgilendirme ve Diğer
23;Madde 4;"Aşağıda belirtilen işlerde ve iş ilişkilerinde bu Kanun hükümleri uygulanmaz; a) Deniz ve hava taşıma işlerinde, b) 50'den az işçi çalıştırılan (50 dahil) tarım ve orman işlerinin yapıldığı işyerlerinde veya işletmelerinde, c) Aile ekonomisi sınırları içinde kalan tarımla ilgili her çeşit yapı işleri, d) Bir ailenin üyeleri ve 3 üncü dereceye kadar (3 üncü derece dahil) hısımları arasında dışardan başka biri katılmayarak evlerde ve el sanatlarının yapıldığı işlerde, e) Ev hizmetlerinde, f) (…)4 çıraklar hakkında, g) Sporcular hakkında";Genel Bilgilendirme ve Diğer
24;Madde 8;İş sözleşmesi, bir tarafın (işçi) bağımlı olarak iş görmeyi, diğer tarafın (işveren) da ücret ödemeyi üstlenmesinden oluşan sözleşmedir. İş sözleşmesi, Kanunda aksi belirtilmedikçe, özel bir şekle tâbi değildir. Süresi bir yıl ve daha fazla olan iş sözleşmelerinin yazılı şekilde yapılması zorunludur. Bu belgeler damga vergisi ve her çeşit resim ve harçtan muaftır. Yazılı sözleşme yapılmayan hallerde işveren işçiye en geç iki ay içinde genel ve özel çalışma koşullarını, günlük ya da haftalık çalışma süresini, temel ücreti ve varsa ücret eklerini, ücret ödeme dönemini, süresi belirli ise sözleşmenin süresini, fesih halinde tarafların uymak zorunda oldukları hükümleri gösteren yazılı bir belge vermekle yükümlüdür. Süresi bir ayı geçmeyen belirli süreli iş sözleşmelerinde bu fıkra hükmü uygulanmaz. İş sözleşmesi iki aylık süre dolmadan sona ermiş ise, bu bilgilerin en geç sona erme tarihinde işçiye yazılı olarak verilmesi zorunludur.;Genel Bilgilendirme ve Diğer
25;Madde 15;Taraflarca iş sözleşmesine bir deneme kaydı konulduğunda, bunun süresi en çok iki ay olabilir. Ancak deneme süresi toplu iş sözleşmeleriyle dört aya kadar uzatılabilir. Deneme süresi içinde taraflar iş sözleşmesini bildirim süresine gerek olmaksızın ve tazminatsız feshedebilir. İşçinin çalıştığı günler için ücret ve diğer hakları saklıdır.;Genel Bilgilendirme ve Diğer
26;Madde 24/I;İşçinin sağlığı için işin yapılması tehlikeli olursa işçi sözleşmeyi haklı nedenle derhal feshedebilir.;Haklı Nedenle Fesih ve İstifa
27;Madde 24/II-b;İşverenin işçiye veya ailesine karşı şeref ve haysiyet kırıcı sözler söylemesi haklı fesih nedenidir.;Haklı Nedenle Fesih ve İstifa
28;Madde 24/II-e;İşçinin ücreti kanun veya sözleşme şartlarına uygun hesaplanmaz veya ödenmezse işçi haklı nedenle istifa edebilir.;Haklı Nedenle Fesih ve İstifa
29;Madde 24/II-f;İşyerinde başka bir işçi tarafından cinsel tacize uğrayan işçinin durumu bildirmesine rağmen önlem alınmazsa fesih hakkı doğar.;Haklı Nedenle Fesih ve İstifa
30;Madde 19;İşveren fesih bildirimini yazılı yapmak ve fesih sebebini açık ve kesin şekilde belirtmek zorundadır.;İşe İade ve İş Güvencesi
31;Madde 20;İş sözleşmesi feshedilen işçi, fesih bildiriminde sebep gösterilmediği iddiası ile 1 ay içinde arabulucuya başvurabilir.;İşe İade ve İş Güvencesi
32;Madde 21/1;Mahkemece feshin geçersizliğine karar verildiğinde, işçi 10 iş günü içinde işe başlamak için işverene başvurmalıdır.;İşe İade ve İş Güvencesi
33;Madde 7;İşçinin onayı alınmadan, holding bünyesindeki başka bir işyerinde geçici olarak görevlendirilmesi çalışma koşullarında değişiklik sayılır.;Mobbing ve Çalışma Koşulları
34;Madde 24/II-a;İşveren iş sözleşmesi yapıldığı sırada işin nitelikleri hakkında işçiyi yanıltırsa, işçi haklı nedenle fesih yapabilir.;Haklı Nedenle Fesih ve İstifa
35;Madde 24/III;İşçinin çalıştığı işyerinde bir haftadan fazla süre ile işin durmasını gerektirecek zorlayıcı sebepler ortaya çıkarsa fesih hakkı doğar.;Haklı Nedenle Fesih ve İstifa
36;Madde 34;"Ücreti ödeme gününden itibaren yirmi gün içinde mücbir bir neden dışında ödenmeyen işçi, iş görme borcunu yerine getirmekten kaçınabilir; bu durum fesih sayılmaz ama haklı bir bekleyiştir.";Haklı Nedenle Fesih ve İstifa
37;Madde 18/3-a;Sendika üyeliği veya çalışma saatleri dışında sendikal faaliyetlere katılmak fesih için geçerli bir sebep oluşturmaz.;İşe İade ve İş Güvencesi
38;Madde 18/3-d;İşveren aleyhine idari veya adli makamlara başvuruda bulunmak işçinin işten çıkarılması için geçerli bir sebep değildir.;İşe İade ve İş Güvencesi
39;Madde 21/5;İşçi işe iade davasını kazandıktan sonra işveren tarafından işe başlatılmazsa, peşin ödenen ihbar tazminatı ve kıdem tazminatı bu alacaklardan mahsup edilir.;İşe İade ve İş Güvencesi
40;Madde 5/3;İşveren, biyolojik veya işin niteliğine dayalı sebepler zorunlu kılmadıkça, iş sözleşmesinin feshinde cinsiyet veya gebelik nedeniyle doğrudan veya dolaylı farklı işlem yapamaz.;Mobbing ve Çalışma Koşulları
41;Madde 7/2;Geçici iş ilişkisi kurulan işveren, işçiye talimat verme yetkisine sahiptir ancak işçinin temel çalışma koşullarını korumakla yükümlüdür.;Mobbing ve Çalışma Koşulları
42;Madde 13/2;Kısmi süreli çalışan işçiye, tam süreli çalışan emsal işçiye göre çalışma süresiyle orantılı olmayan farklı bir işlem yapılması mobbing belirtisi sayılabilir.;Mobbing ve Çalışma Koşulları
43;csgb/SSS;Kıdem tazminatının ödenmesi için gereken koşullar nelerdir?;Kıdem ve İhbar Tazminatı
44;csgb/SSS;İşyerinin satılması durumunda işçi kıdem tazminatının ödenmesini isteyebilir mi?;Kıdem ve İhbar Tazminatı
45;csgb/SSS;Evlilik nedeniyle istifa eden kadın işçi kıdem tazminatı alabilir mi?;Kıdem ve İhbar Tazminatı
46;csgb/SSS;Kıdem tazminatı tutarı nasıl hesaplanır?;Kıdem ve İhbar Tazminatı
47;csgb/SSS;İhbar tazminatı nedir, hangi hallerde ödenmektedir?;Kıdem ve İhbar Tazminatı
48;csgb/SSS;İşçinin ihbar tazminatına hak kazanmasının esasları nelerdir?;Kıdem ve İhbar Tazminatı
49;csgb/SSS;İşten kendi isteğiyle ayrılan işçi ihbar tazminatı alabilir mi?;Kıdem ve İhbar Tazminatı
50;csgb/SSS;Ücreti artırılmayan işçi kıdem tazminatını alarak işten ayrılabilir mi?;Haklı Nedenle Fesih ve İstifa
51;csgb/SSS;İşe iade hakkından yararlanabilmek için gereken şartlar nelerdir?;İşe İade ve İş Güvencesi
52;csgb/SSS;İzin almadan işe devamsızlık yapan işçi ile ilgili yapılması gereken işlem nedir?;Haklı Nedenle Fesih ve İstifa
53;csgb/SSS;Uzun süreli rapor alan işçinin iş sözleşmesi bu nedenle feshedilebilir mi?;Haklı Nedenle Fesih ve İstifa
54;csgb/SSS;Fazla çalışma ücretine hangi hallerde hak kazanılmaktadır?;Ücret, Fazla Mesai ve Yan Haklar
55;csgb/SSS;Eşi doğum yapan işçiye kaç gün izin verilmesi gerekmektedir?;Yıllık İzin ve Dinlenme Süreleri
56;csgb/SSS;Çalışanlara hamilelik ve doğum hallerinde sağlanan haklar nelerdir?;Yıllık İzin ve Dinlenme Süreleri
57;csgb/SSS;Hamilelik veya doğum nedeni ile işten ayrılan işçi, kıdem tazminatına hak kazanır mı?;Kıdem ve İhbar Tazminatı
58;csgb/SSS;Çalışanların raporla belgelenmiş sağlık nedenlerine dayalı işe devamsızlıklarında işveren tarafından ücret ödenir mi?;Ücret, Fazla Mesai ve Yan Haklar
59;csgb/SSS;Doğum nedeniyle kullanılacak ücretli ve ücretsiz izin sürelerinin, yıllık ücretli izin hakkı elde edilmesi için geçmesi gereken süreye etkisi nedir?;Yıllık İzin ve Dinlenme Süreleri
60;csgb/SSS;Bir yıllık çalışma süresi dolmamış bir işçinin yıllık ücretli izin hakkı var mıdır?;Yıllık İzin ve Dinlenme Süreleri
61;csgb/SSS;İşçilere ücret kesme cezası verilmesinin koşulları nelerdir?;Ücret, Fazla Mesai ve Yan Haklar
62;csgb/SSS;Çalışanlara yol ve yemek parası verilmesi gerekli midir?;Ücret, Fazla Mesai ve Yan Haklar
63;csgb/SSS;Performans düşüklüğü nedeniyle iş sözleşmesi fesih edilebilir mi?;İşe İade ve İş Güvencesi
64;csgb/SSS;Özel sektörde çalışan bir işçinin kaç yıldan sonra istifa sonucu kıdem tazminatı hakkı vardır?;Kıdem ve İhbar Tazminatı
65;csgb/SSS;Tatil günlerinde çalışan bir işçinin, bu çalışma karşılığındaki ücreti nasıl hesaplanmaktadır?;Ücret, Fazla Mesai ve Yan Haklar
66;csgb/SSS;Ücretler hangi aralıklarla ve hangi oranlarda artırılmalıdır?;Ücret, Fazla Mesai ve Yan Haklar
67;csgb/SSS;Çalışanın kendisine önerilen yeni pozisyonu kabul etmemesi durumunda işverenin yaptırım hakkı doğar mı?;Mobbing ve Çalışma Koşulları
68;csgb/SSS;İşyerinde çırak olarak çalışan bir kişi işten ayrılması durumunda kıdem tazminatı alabilir mi?;Kıdem ve İhbar Tazminatı
69;csgb/SSS;İşveren işçinin iş sözleşmesini 4857 sayılı İş Kanunu’nun 25 inci maddesinin (II) numaralı bendinde yer alan haller (Ahlak ve iyi niyet kurallarına uymayan haller ve benzerleri) gerekçesiyle feshederse işçi kıdem tazminatına hak kazanır mı?;Haklı Nedenle Fesih ve İstifa
70;csgb/SSS;İşçi iş sözleşmesini 4857 sayılı İş Kanunu’nun 24 üncü maddesi uyarınca feshederse kıdem tazminatına hak kazanılır mı?;Kıdem ve İhbar Tazminatı
71;csgb/SSS;Malulen emekli olarak işten ayrılan işçi kıdem tazminatına hak kazanır mı?;Kıdem ve İhbar Tazminatı
72;csgb/SSS;Toptan ödeme almak amacıyla işten ayrılan işçi kıdem tazminatına hak kazanır mı?;Kıdem ve İhbar Tazminatı
73;csgb/SSS;5510 sayılı Kanunda öngörülen yaşlılık aylığı almak için yaş dışındaki sigortalılık süresini ve prim ödeme gün sayılarını tamamlayarak kendi isteğiyle işten ayrılan işçi kıdem tazminatına hak kazanır mı?;Kıdem ve İhbar Tazminatı
74;csgb/SSS;10 ay önce evlenen kadın işçi işten ayılmak zorundaysa, kıdem tazminatı alabilir mi?;Kıdem ve İhbar Tazminatı
75;csgb/SSS;1 yıl 2 ay önce evlenen kadın işçi, işten ayrılırsa kıdem tazminatı alabilir mi?;Kıdem ve İhbar Tazminatı
76;csgb/SSS;Çalışan vefat ettiği takdirde çalışana ait kıdem tazminatı tutarını mirasçıları talep edebilir mi?;Kıdem ve İhbar Tazminatı
77;csgb/SSS;İşyerinde 10 yıldan beri çalışan işçi, ne kadarlık ücret tutarında kıdem tazminatı alabilir?;Kıdem ve İhbar Tazminatı
78;csgb/SSS;Daha önce çalıştığı kamu kurumundan kıdem tazminatı alarak ayrılan işçi, daha sonra başka bir kamu kurumunda çalışmaya başlarsa, kıdem tazminatına esas süre ne kadar olur?;Kıdem ve İhbar Tazminatı
79;csgb/SSS;10.000 TL net ücret alan bir çalışanın, kıdem tazminatına esas ücreti ne kadardır?;Kıdem ve İhbar Tazminatı
80;csgb/SSS;Daha önceki hizmetinden dolayı kıdem tazminatı alan işçi, tekrar aynı işyerinde çalışmaya devam ederse, daha önceki süre için tekrar kıdem tazminatı alabilir mi?;Kıdem ve İhbar Tazminatı
81;csgb/SSS;Kıdem tazminatı zamanında ödenmezse faiz istenilebilir mi?;Kıdem ve İhbar Tazminatı
82;csgb/SSS;Kıdem tazminatında her yıl için ödenecek 30 günlük ücret artırılabilir mi?;Kıdem ve İhbar Tazminatı
83;csgb/SSS;Kıdem tazminatından kesinti yapılır mı?;Kıdem ve İhbar Tazminatı
84;csgb/SSS;Kıdem tazminatı hesaplanırken ücrete hangi ödemeler dahil edilir?;Kıdem ve İhbar Tazminatı
85;csgb/SSS;Kıdem tazminatı hesaplanırken ücrete hangi ödemeler dâhil edilmez?;Kıdem ve İhbar Tazminatı
86;csgb/SSS;İşçinin başka bir şubeye gönderilmesi mümkün müdür?;Mobbing ve Çalışma Koşulları
87;csgb/SSS;İşverenle işçi anlaşarak iş koşullarını değiştirebilir mi?;Mobbing ve Çalışma Koşulları
88;csgb/SSS;Çalışma koşullarında yapılan değişiklikler geçmişe etkili olarak yürürlüğe konulur mu?;Mobbing ve Çalışma Koşulları
89;csgb/SSS;İşçilere dolar ile ödeme yapılabilir mi?;Ücret, Fazla Mesai ve Yan Haklar
90;csgb/SSS;İşçiye ücret ödemesi emre muharrer senetle (bono ile), kuponla veya yurtta geçerli parayı temsil ettiği iddia olunan bir senetle veya diğer herhangi bir şekilde yapılabilir mi?;Ücret, Fazla Mesai ve Yan Haklar
91;csgb/SSS;İşverenin 2 ay boyunca ücret ödememesi yasal mıdır?;Ücret, Fazla Mesai ve Yan Haklar
92;csgb/SSS;Ücret alacaklarında zaman aşımı süresi var mıdır?;Ücret, Fazla Mesai ve Yan Haklar
93;csgb/SSS;8 işçi çalıştıran işveren ücretleri banka kanalıyla ödeme yükümlülüğüne tabii midir?;Ücret, Fazla Mesai ve Yan Haklar
94;csgb/SSS;İşçi ücretlerinin ne kadarlık tutarı bankaya yatırılmalıdır?;Ücret, Fazla Mesai ve Yan Haklar
95;csgb/SSS;11 işçi çalıştıran işveren, işçilere ücretlerini banka aracılığıyla ödemese ne olur?;Ücret, Fazla Mesai ve Yan Haklar
96;csgb/SSS;Ücreti ödenmeyen işçi iş görmekten kaçınabilir mi?;Mobbing ve Çalışma Koşulları
97;csgb/SSS;Ücreti zamanında ödenmediği için iş görmekten kaçınan işçinin iş sözleşmesi feshedilir mi?;Mobbing ve Çalışma Koşulları
98;csgb/SSS;Ücretin ne kadarı haczedilebilir veya başkasına devir temlik edilebilir?;Ücret, Fazla Mesai ve Yan Haklar
99;csgb/SSS;Ücret bordrosu düzenleyen işverenin ücret hesap pusulası da düzenleme yükümlülüğü var mıdır?;Ücret, Fazla Mesai ve Yan Haklar
100;csgb/SSS;İşverenin işçiden 3 gündelik kadar ücret kesinti yapması yasaya uygun mudur?;Ücret, Fazla Mesai ve Yan Haklar
101;csgb/SSS;İşçiden ücret kesme cezası yoluyla kesilen para ne yapılmalıdır?;Ücret, Fazla Mesai ve Yan Haklar
102;csgb/SSS;Genel çalışma süresinin 45 saat olarak belirlendiği bir işyerinde, haftada 44 saat çalışma yaptıran işveren fazla çalışma ücreti ödemeli midir?;Ücret, Fazla Mesai ve Yan Haklar
103;csgb/SSS;Haftada 3 saat fazla çalışma yaptırılan işçiye, ücreti nasıl ödenmelidir?;Ücret, Fazla Mesai ve Yan Haklar
104;csgb/SSS;Sözleşmede haftalık 40 saat çalışacağı belirtilen bir işçi, işveren tarafından haftada 44 saat çalıştırılıyor ise ücreti ne kadar zamlı ödenmelidir?;Ücret, Fazla Mesai ve Yan Haklar
