ID,Kaynak,İcerik,Kategori
147,csgb/SSS,"İşçinin kendi isteği veya savsaması yüzünden işin güvenliğini tehlikeye düşürmesi, işyerinin malı olan veya malı olmayıp da eli altında bulunan makineleri, tesisatı veya başka eşya ve maddeleri otuz günlük ücretinin tutarıyla ödeyemeyecek derecede hasara ve kayba uğratması durumunda ilgili işveren tarafından derhal fesih nasıl yapılır?",Haklı Nedenle Fesih ve İstifa
39,Madde 21/5,"İşçi işe iade davasını kazandıktan sonra işveren tarafından işe başlatılmazsa, peşin ödenen ihbar tazminatı ve kıdem tazminatı bu alacaklardan mahsup edilir.",İşe İade ve İş Güvencesi
42,Madde 13/2,"Kısmi süreli çalışan işçiye, tam süreli çalışan emsal işçiye göre çalışma süresiyle orantılı olmayan farklı bir işlem yapılması mobbing belirtisi sayılabilir.",Mobbing ve Çalışma Koşulları
5,Madde 26,Derhal fesih hakkını kullanma süresi (6 iş günü).,Kıdem ve İhbar Tazminatı
143,csgb/SSS,İşverenin bayram sonrası verdiği izin karşılığı telafi çalışması yaptırması mümkün müdür?,Genel Bilgilendirme ve Diğer
33,Madde 7,"İşçinin onayı alınmadan, holding bünyesindeki başka bir işyerinde geçici olarak görevlendirilmesi çalışma koşullarında değişiklik sayılır.",Mobbing ve Çalışma Koşulları
67,csgb/SSS,Çalışanın kendisine önerilen yeni pozisyonu kabul etmemesi durumunda işverenin yaptırım hakkı doğar mı?,Mobbing ve Çalışma Koşulları
128,csgb/SSS,Grev ve lokavtın uygulanması sırasında geçici işçi çalıştıran işveren işçi çalıştırabilir mi?,Genel Bilgilendirme ve Diğer
96,csgb/SSS,Ücreti ödenmeyen işçi iş görmekten kaçınabilir mi?,Mobbing ve Çalışma Koşulları
11,Madde 47,"Bu Kanun kapsamına giren işyerlerinde çalışan işçilere, kanunlarda ulusal bayram ve genel tatil günü olarak kabul edilen günlerde çalışmazlarsa, bir iş karşılığı olmaksızın o günün ücretleri tam olarak, tatil yapmayarak çalışırlarsa ayrıca çalışılan her gün için bir günlük ücreti ödenir. Yüzde usulünün uygulandığı işyerlerinde işçilerin ulusal bayram ve genel tatil ücretleri işverence işçiye ödenir.","Ücret, Fazla Mesai ve Yan Haklar"
101,csgb/SSS,İşçiden ücret kesme cezası yoluyla kesilen para ne yapılmalıdır?,"Ücret, Fazla Mesai ve Yan Haklar"
116,csgb/SSS,Geçici iş ilişkisi nedir?,Genel Bilgilendirme ve Diğer
1,Madde 17,"Belirsiz süreli iş sözleşmelerinin feshinden önce durumun diğer tarafa bildirilmesi gerekir. Bildirim şartına uymayan taraf, ihbar tazminatı öder.",Kıdem ve İhbar Tazminatı
126,csgb/SSS,İş sözleşmesinin işveren tarafından derhal feshi ne demektir?,Haklı Nedenle Fesih ve İstifa
118,csgb/SSS,Geçici işçi çalıştıran işverenin yükümlülükleri nelerdir?,Genel Bilgilendirme ve Diğer
65,csgb/SSS,"Tatil günlerinde çalışan bir işçinin, bu çalışma karşılığındaki ücreti nasıl hesaplanmaktadır?","Ücret, Fazla Mesai ve Yan Haklar"
45,csgb/SSS,Evlilik nedeniyle istifa eden kadın işçi kıdem tazminatı alabilir mi?,Kıdem ve İhbar Tazminatı
121,csgb/SSS,Hangi işlerde geçici iş ilişkisi gerçekleşmez?,Genel Bilgilendirme ve Diğer
29,Madde 24/II-f,İşyerinde başka bir işçi tarafından cinsel tacize uğrayan işçinin durumu bildirmesine rağmen önlem alınmazsa fesih hakkı doğar.,Haklı Nedenle Fesih ve İstifa
41,Madde 7/2,"Geçici iş ilişkisi kurulan işveren, işçiye talimat verme yetkisine sahiptir ancak işçinin temel çalışma koşullarını korumakla yükümlüdür.",Mobbing ve Çalışma Koşulları
119,csgb/SSS,Geçici iş ilişkisinde işçinin yükümlülükleri nelerdir?,Genel Bilgilendirme ve Diğer
26,Madde 24/I,İşçinin sağlığı için işin yapılması tehlikeli olursa işçi sözleşmeyi haklı nedenle derhal feshedebilir.,Haklı Nedenle Fesih ve İstifa
24,Madde 8,"İş sözleşmesi, bir tarafın (işçi) bağımlı olarak iş görmeyi, diğer tarafın (işveren) da ücret ödemeyi üstlenmesinden oluşan sözleşmedir. İş sözleşmesi, Kanunda aksi belirtilmedikçe, özel bir şekle tâbi değildir. Süresi bir yıl ve daha fazla olan iş sözleşmelerinin yazılı şekilde yapılması zorunludur. Bu belgeler damga vergisi ve her çeşit resim ve harçtan muaftır. Yazılı sözleşme yapılmayan hallerde işveren işçiye en geç iki ay içinde genel ve özel çalışma koşullarını, günlük ya da haftalık çalışma süresini, temel ücreti ve varsa ücret eklerini, ücret ödeme dönemini, süresi belirli ise sözleşmenin süresini, fesih halinde tarafların uymak zorunda oldukları hükümleri gösteren yazılı bir belge vermekle yükümlüdür. Süresi bir ayı geçmeyen belirli süreli iş sözleşmelerinde bu fıkra hükmü uygulanmaz. İş sözleşmesi iki aylık süre dolmadan sona ermiş ise, bu bilgilerin en geç sona erme tarihinde işçiye yazılı olarak verilmesi zorunludur.",Genel Bilgilendirme ve Diğer
124,csgb/SSS,İşçinin iş sözleşmesini derhal feshetmesini gerektirecek ahlak ve iyi niyet kurallarına uymayan haller ve benzerleri nelerdir?,Haklı Nedenle Fesih ve İstifa
82,csgb/SSS,Kıdem tazminatında her yıl için ödenecek 30 günlük ücret artırılabilir mi?,Kıdem ve İhbar Tazminatı
80,csgb/SSS,"Daha önceki hizmetinden dolayı kıdem tazminatı alan işçi, tekrar aynı işyerinde çalışmaya devam ederse, daha önceki süre için tekrar kıdem tazminatı alabilir mi?",Kıdem ve İhbar Tazminatı
85,csgb/SSS,Kıdem tazminatı hesaplanırken ücrete hangi ödemeler dâhil edilmez?,Kıdem ve İhbar Tazminatı
40,Madde 5/3,"İşveren, biyolojik veya işin niteliğine dayalı sebepler zorunlu kılmadıkça, iş sözleşmesinin feshinde cinsiyet veya gebelik nedeniyle doğrudan veya dolaylı farklı işlem yapamaz.",Mobbing ve Çalışma Koşulları
95,csgb/SSS,"11 işçi çalıştıran işveren, işçilere ücretlerini banka aracılığıyla ödemese ne olur?","Ücret, Fazla Mesai ve Yan Haklar"
87,csgb/SSS,İşverenle işçi anlaşarak iş koşullarını değiştirebilir mi?,Mobbing ve Çalışma Koşulları
113,csgb/SSS,Bir hava yolu şirketinde finans müdürü olarak çalışan işçi 4857 sayılı İş Kanununa tabi midir?,Genel Bilgilendirme ve Diğer
165,https://forum.donanimhaber.com/is-hukuku-ve-isci-haklarina-dair-sorularinizi-cevapliyorum--113737648,"Bir işveren verdiği maaşın belli bir miktarını normal maaş, diğer bir kısmını da prim adı altında gösteriyor. Bu yasal mı?
 Yani
 2000₺ toplam paranın 1300 ü normal ama kalan 700 ü ise prim ismiyle veriliyor.","Ücret, Fazla Mesai ve Yan Haklar"
142,csgb/SSS,İşverenin gece vardiyasında işçiyi 12 saat çalıştırması yasal mıdır?,Yıllık İzin ve Dinlenme Süreleri
48,csgb/SSS,İşçinin ihbar tazminatına hak kazanmasının esasları nelerdir?,Kıdem ve İhbar Tazminatı
129,csgb/SSS,50 ve daha fazla işçi çalıştırılan tarım işletmeleri ile 50’den daha az işçi çalıştırılan tarım işletmelerindeki tarım işçisi sayılmayan işçilerin iş hukuku bakımından durumu nedir?,Genel Bilgilendirme ve Diğer
62,csgb/SSS,Çalışanlara yol ve yemek parası verilmesi gerekli midir?,"Ücret, Fazla Mesai ve Yan Haklar"
74,csgb/SSS,"10 ay önce evlenen kadın işçi işten ayılmak zorundaysa, kıdem tazminatı alabilir mi?",Kıdem ve İhbar Tazminatı
34,Madde 24/II-a,"İşveren iş sözleşmesi yapıldığı sırada işin nitelikleri hakkında işçiyi yanıltırsa, işçi haklı nedenle fesih yapabilir.",Haklı Nedenle Fesih ve İstifa
159,https://forum.donanimhaber.com/is-hukuku-ve-isci-haklarina-dair-sorularinizi-cevapliyorum--113737648,"Şubatın 12 sinde işten çıkarıldım.Tüm çıkış haklarım kağıt üzerinde verildi. İşyeri tazminatımı taksitle vermek istedi.Çalışma bakanlığını aradım.Bana taksit olayının tamamen benim tercihime kaldığını kabul etmezsem 20 gün süresi olduğunu; 20 gün sonunda ödemezse tekrar onları aramamı söyledi.(Takside böldürürsen kesinlikle ıslak imzalı anlaşma kağıdı almamı söyledi) İşverenime tazminatı tek seferde almak istediğimi söyledim.(tazminatım 8000tl) Bana tek seferde veremeyeceğini kabul etmezsen git mahkemeye dedi.Ödemem gereken borçlarımdan dolayı (mahkeme süresi vs. beni çok kötü şekilde etkiler) Tazminatımı 3 taksit olucak şekilde nisan mayıs haziranın 1-10 arası ödeme olucak şekilde istemeyerekte olsa anlaştım.Bugün benden önce çıkısı verilen gruptan bazı arkadaşlar aradım.onların yaptığı anlaşmada ayın 18 inde taksitleri yatıcaktı.Ama yatmamış.Arkadaşlar pazartesi günü görüşme yapıcak.Anlaşamazlarsa mahkemeye vericekler.
 Benim her ay ödemem gereken borçlarım var.Nisanda paramı alamazsam çok kötü bir duruma düşücem.(mart ayını borç harç çevircem)
 Daha önceki çıkarılan işçilerin tazminatları yatmadığı için anlaşmaya itiraz edip şu an mahkemeye verebilirmiyim ?",Kıdem ve İhbar Tazminatı
125,csgb/SSS,İşçinin iş sözleşmesini derhal feshetmesini gerektirecek zorlayıcı sebepleri nelerdir?,Haklı Nedenle Fesih ve İstifa
132,csgb/SSS,Çalışma süresi hesaplanırken ara dinlenmeleri hesaba katılmalı mıdır?,Yıllık İzin ve Dinlenme Süreleri
63,csgb/SSS,Performans düşüklüğü nedeniyle iş sözleşmesi fesih edilebilir mi?,İşe İade ve İş Güvencesi
168,https://forum.donanimhaber.com/is-hukuku-ve-isci-haklarina-dair-sorularinizi-cevapliyorum--113737648,hocam ben yazın bir otelde çalıştım maaş vermedikleri için ayrıldım.Benlw birlikte başka kişilerde çıktı işten ancak aylar olmasına rağmen hala 1500 lira paramı alamadım başkaları da alamadı.Ne yapmalıyım?,"Ücret, Fazla Mesai ve Yan Haklar"
105,csgb/SSS,Haftada 5 saat fazla çalışma yapan bir işçinin ücret yerine izin alması mümkün müdür?,Yıllık İzin ve Dinlenme Süreleri
140,csgb/SSS,Kadın işçi doğum sonrası ücretsiz izin alabilir mi?,Yıllık İzin ve Dinlenme Süreleri
54,csgb/SSS,Fazla çalışma ücretine hangi hallerde hak kazanılmaktadır?,"Ücret, Fazla Mesai ve Yan Haklar"
6,Madde 18,"Otuz veya daha fazla işçi çalıştıran işyerlerinde en az altı aylık kıdemi
 olan işçinin belirsiz süreli iş sözleşmesini fesheden işveren, işçinin yeterliliğinden veya
 davranışlarından ya da işletmenin, işyerinin veya işin gereklerinden kaynaklanan geçerli bir
 sebebe dayanmak zorundadır. (Ek cümle: 10/9/2014-6552/2 md.) Yer altı işlerinde çalışan
 işçilerde kıdem şartı aranmaz.",İşe İade ve İş Güvencesi
123,csgb/SSS,İşçinin iş sözleşmesini derhal feshetmesini gerektirecek sağlık sebepleri nelerdir?,Haklı Nedenle Fesih ve İstifa
4,Madde 32,Ücret kural olarak Türk parası ile ödenir. Ücret alacaklarında zamanaşımı süresi beş yıldır.,"Ücret, Fazla Mesai ve Yan Haklar"
157,https://forum.donanimhaber.com/is-hukuku-ve-isci-haklarina-dair-sorularinizi-cevapliyorum--113737648,7 yıllık çalışanım ve sorumlu olarak gözüküyorum(elemanın bir üst kademesi). Sorunluluğum nedeniyle asgari ücretten bi miktar fazla alıyordum. Asgarî ücrete yapılan yeni zamla beraber bu fark ortadan kalkmıştır ve asgari ücret almaktayım. Bu farkın kalkması hukukî olarak kabul edilmekte midir?,"Ücret, Fazla Mesai ve Yan Haklar"
50,csgb/SSS,Ücreti artırılmayan işçi kıdem tazminatını alarak işten ayrılabilir mi?,Haklı Nedenle Fesih ve İstifa
36,Madde 34,"Ücreti ödeme gününden itibaren yirmi gün içinde mücbir bir neden dışında ödenmeyen işçi, iş görme borcunu yerine getirmekten kaçınabilir; bu durum fesih sayılmaz ama haklı bir bekleyiştir.",Haklı Nedenle Fesih ve İstifa
81,csgb/SSS,Kıdem tazminatı zamanında ödenmezse faiz istenilebilir mi?,Kıdem ve İhbar Tazminatı
78,csgb/SSS,"Daha önce çalıştığı kamu kurumundan kıdem tazminatı alarak ayrılan işçi, daha sonra başka bir kamu kurumunda çalışmaya başlarsa, kıdem tazminatına esas süre ne kadar olur?",Kıdem ve İhbar Tazminatı
35,Madde 24/III,İşçinin çalıştığı işyerinde bir haftadan fazla süre ile işin durmasını gerektirecek zorlayıcı sebepler ortaya çıkarsa fesih hakkı doğar.,Haklı Nedenle Fesih ve İstifa
47,csgb/SSS,"İhbar tazminatı nedir, hangi hallerde ödenmektedir?",Kıdem ve İhbar Tazminatı
8,Madde 34,"Ücreti ödeme gününden itibaren yirmi gün içinde mücbir bir neden dışında ödenmeyen işçi, iş görme borcunu yerine getirmekten kaçınabilir. Bu nedenle kişisel kararlarına dayanarak iş görme borcunu yerine getirmemeleri sayısal olarak toplu bir nitelik kazansa dahi grev olarak nitelendirilemez. Gününde ödenmeyen ücretler için mevduata uygulanan en yüksek faiz oranı uygulanır. Bu işçilerin bu nedenle iş akitleri çalışmadıkları için feshedilemez ve yerine yeni işçi alınamaz, bu işler başkalarına yaptırılamaz.","Ücret, Fazla Mesai ve Yan Haklar"
44,csgb/SSS,İşyerinin satılması durumunda işçi kıdem tazminatının ödenmesini isteyebilir mi?,Kıdem ve İhbar Tazminatı
71,csgb/SSS,Malulen emekli olarak işten ayrılan işçi kıdem tazminatına hak kazanır mı?,Kıdem ve İhbar Tazminatı
149,csgb/SSS,Yıllık izin süresi nasıl hesaplanır?,Yıllık İzin ve Dinlenme Süreleri
111,csgb/SSS,Aynı işyerinde çalışmaya devam eden işçinin izin kullanma hakkı taşeron firmanın değişmesi durumunda nasıl etkilenmektedir?,Yıllık İzin ve Dinlenme Süreleri
92,csgb/SSS,Ücret alacaklarında zaman aşımı süresi var mıdır?,"Ücret, Fazla Mesai ve Yan Haklar"
84,csgb/SSS,Kıdem tazminatı hesaplanırken ücrete hangi ödemeler dahil edilir?,Kıdem ve İhbar Tazminatı
156,https://forum.donanimhaber.com/is-hukuku-ve-isci-haklarina-dair-sorularinizi-cevapliyorum--113737648,Merhabalar. Annem bir yemek şirketinde 1 yılı aşkın süre ile çalışıyor. Fakat yemek şirketi başka bir ilde ikametgahıza uzak fabrikada çalışmasını istiyor. Fabrikaya servis imkanı yok ayrıca çok uzak gitme şansı yok. Hukuki dayanağı var mı? Annemin istifa etmesi durumunda kıdem tazminatını alabilir mi ayrıca kullanmadığı yıllık iznini kullanabilir mi?,Mobbing ve Çalışma Koşulları
153,https://forum.donanimhaber.com/is-hukuku-ve-isci-haklarina-dair-sorularinizi-cevapliyorum--113737648,"Bir işyerinde aynı statüde çalışanların farklı maaş alması yasal mıdır? Bahsi geçen firma kurumsal bir firmadır. Bundan yaklaşık 10 yıl önce özelleştirildi. Devlet zamanından kalanlar yüksek maaş almakta. Özelleştikten sonra işe girenler ise yaklaşık %25-30 daha az maaş almakta. Her şeyiyle aynı statüdeyiz, yapılan iş aynı, çalışma saatleri her şeyiyle aynı fakat maaş farklı. Bunun yasal olup olmadığını merak ediyorum ben de.","Ücret, Fazla Mesai ve Yan Haklar"
90,csgb/SSS,"İşçiye ücret ödemesi emre muharrer senetle (bono ile), kuponla veya yurtta geçerli parayı temsil ettiği iddia olunan bir senetle veya diğer herhangi bir şekilde yapılabilir mi?","Ücret, Fazla Mesai ve Yan Haklar"
9,Madde 41,"Ülkenin genel yararları yahut işin niteliği veya üretimin artırılması gibi nedenlerle fazla çalışma yapılabilir. Fazla çalışma, Kanunda yazılı koşullar çerçevesinde, haftalık kırkbeş saati aşan çalışmalardır. 63 üncü madde hükmüne göre denkleştirme esasının uygulandığı hallerde, işçinin haftalık ortalama çalışma süresi, normal haftalık iş süresini aşmamak koşulu ile, bazı haftalarda toplam kırkbeş saati aşsa dahi bu çalışmalar fazla çalışma sayılmaz. Her bir saat fazla çalışma için verilecek ücret normal çalışma ücretinin saat başına düşen miktarının yüzde elli yükseltilmesi suretiyle ödenir. Haftalık çalışma süresinin sözleşmelerle kırkbeş saatin altında belirlendiği durumlarda yukarıda belirtilen esaslar dahilinde uygulanan ortalama haftalık çalışma süresini aşan ve kırkbeş saate kadar yapılan çalışmalar fazla sürelerle çalışmalardır. Fazla sürelerle çalışmalarda, her bir saat fazla çalışma için verilecek ücret normal çalışma ücretinin saat başına düşen miktarının yüzde yirmibeş yükseltilmesiyle ödenir.","Ücret, Fazla Mesai ve Yan Haklar"
162,https://forum.donanimhaber.com/is-hukuku-ve-isci-haklarina-dair-sorularinizi-cevapliyorum--113737648,hocam bir kamu kuruluşunda taşeron olarak çalışıyorum. eşim doğum yaptı 5 gün babalık iznine ayrıldım. maaşım bu ay az yatmış. babalık izninde olduğum süre kesilmiş sanırım. kesilen parayı sgk ödüyormuş sanırım öyle bir şey duydumda. bilginiz varsa paylaşırsanız sevinirim.,Yıllık İzin ve Dinlenme Süreleri
114,csgb/SSS,İşverenin kadınlara erkeklerden daha az ücret ödemesi kanuna uygun mudur?,"Ücret, Fazla Mesai ve Yan Haklar"
14,Madde 68,"Günlük çalışma süresinin ortalama bir zamanında o yerin gelenekleri ve işin gereğine göre ayarlanmak suretiyle işçilere; a) Dört saat veya daha kısa süreli işlerde onbeş dakika, b) Dört saatten fazla ve yedibuçuk saate kadar (yedibuçuk saat dahil) süreli işlerde yarım saat, c) Yedibuçuk saatten fazla süreli işlerde bir saat, ara dinlenmesi verilir. Bu dinlenme süreleri en az olup aralıksız verilir. Ancak bu süreler, iklim, mevsim, o yerdeki gelenekler ve işin niteliği göz önünde tutularak sözleşmeler ile aralı olarak kullandırılabilir. Dinlenmeler bir işyerinde işçilere aynı veya değişik saatlerde kullandırılabilir. Ara dinlenmeleri çalışma süresinden sayılmaz.",Yıllık İzin ve Dinlenme Süreleri
60,csgb/SSS,Bir yıllık çalışma süresi dolmamış bir işçinin yıllık ücretli izin hakkı var mıdır?,Yıllık İzin ve Dinlenme Süreleri
145,csgb/SSS,Çalışılmış gibi sayılan 4 aylık sürenin sigorta primi ödenir mi?,"Ücret, Fazla Mesai ve Yan Haklar"
18,Madde 30,"İşverenler, elli veya daha fazla işçi çalıştırdıkları özel sektör işyerlerinde yüzde üç engelli, kamu işyerlerinde ise yüzde dört engelli ve yüzde iki eski hükümlü işçiyi veya 21/6/1927 tarihli ve 1111 sayılı Askerlik Kanunu veya 16/6/1927 tarihli ve 1076 sayılı Yedek Subaylar ve Yedek Askeri Memurlar Kanunu kapsamına giren ve askerlik hizmetini yaparken 12/4/1991 tarihli ve 3713 sayılı Terörle Mücadele Kanununun 21 inci maddesinde sayılan terör olaylarının sebep ve tesiri sonucu malul sayılmayacak şekilde yaralananları meslek, beden ve ruhi durumlarına uygun işlerde çalıştırmakla yükümlüdürler. Aynı il sınırları içinde birden fazla işyeri bulunan işverenin bu kapsamda çalıştırmakla yükümlü olduğu işçi sayısı, toplam işçi sayısına göre hesaplanır.",İş Sağlığı ve Güvenliği
73,csgb/SSS,5510 sayılı Kanunda öngörülen yaşlılık aylığı almak için yaş dışındaki sigortalılık süresini ve prim ödeme gün sayılarını tamamlayarak kendi isteğiyle işten ayrılan işçi kıdem tazminatına hak kazanır mı?,Kıdem ve İhbar Tazminatı
148,csgb/SSS,4857 sayılı İş Kanununun 25’inci maddesinin (II) nolu bendinin (g) alt bendinde yer alan ay kavramı ile ne ifade edilmektedir?,Genel Bilgilendirme ve Diğer
135,csgb/SSS,Yıllık ücretli izin kullanılırken bir başka işte çalışılabilir mi?,Yıllık İzin ve Dinlenme Süreleri
141,csgb/SSS,Gebe ya da emziren kadın işçi gece postasında çalıştırılabilir mi?,İş Sağlığı ve Güvenliği
155,https://forum.donanimhaber.com/is-hukuku-ve-isci-haklarina-dair-sorularinizi-cevapliyorum--113737648,Hizmet sektöründe 23:00 - 07:00 saatleri arasında çalışmaktayım. Bu durumda iş yerinde 14:30 - 17:00 saatleri arasında yapılan şirket içi eğitime katılma zorunluluğumun olup olmadığını ve bununla ilgili varsa ilgili maddeyi öğrenmek istiyorum.,Yıllık İzin ve Dinlenme Süreleri
64,csgb/SSS,Özel sektörde çalışan bir işçinin kaç yıldan sonra istifa sonucu kıdem tazminatı hakkı vardır?,Kıdem ve İhbar Tazminatı
55,csgb/SSS,Eşi doğum yapan işçiye kaç gün izin verilmesi gerekmektedir?,Yıllık İzin ve Dinlenme Süreleri
108,csgb/SSS,İşveren bir yılda toplam ne kadar fazla çalışma yaptırma hakkına sahiptir?,Mobbing ve Çalışma Koşulları
51,csgb/SSS,İşe iade hakkından yararlanabilmek için gereken şartlar nelerdir?,İşe İade ve İş Güvencesi
167,https://forum.donanimhaber.com/is-hukuku-ve-isci-haklarina-dair-sorularinizi-cevapliyorum--113737648,Merhabalar benim bir arkadaşım yüzde 40 engelli bir işe girdi 3 gün calisti sonra çıktı bir sürü tiri kendi başına bosaltiyomus bi de soğukta çıktı bu arkadaş ama 2 günlük parasını alamadi 1 gunlunu aldı adama dedi adam da ben vermem demiş ne verecek zaten 1 gun çalıştın demiş vermem diye ısrar etmiş şimdi bunu zorla çağırıyorlar ise gitmiyo görmezden parani vermeyiz diyolar biz şimdi napalim nereye gidelim nereye basvuralim yardım edin lutfen,"Ücret, Fazla Mesai ve Yan Haklar"
59,csgb/SSS,"Doğum nedeniyle kullanılacak ücretli ve ücretsiz izin sürelerinin, yıllık ücretli izin hakkı elde edilmesi için geçmesi gereken süreye etkisi nedir?",Yıllık İzin ve Dinlenme Süreleri
49,csgb/SSS,İşten kendi isteğiyle ayrılan işçi ihbar tazminatı alabilir mi?,Kıdem ve İhbar Tazminatı
89,csgb/SSS,İşçilere dolar ile ödeme yapılabilir mi?,"Ücret, Fazla Mesai ve Yan Haklar"
22,Madde 3,"Bu Kanunun kapsamına giren nitelikte bir işyerini kuran, her ne suretle olursa olsun devralan, çalışma konusunu kısmen veya tamamen değiştiren veya herhangi bir sebeple faaliyetine son veren ve işyerini kapatan işveren, işyerinin unvan ve adresini, çalıştırılan işçi sayısını, çalışma konusunu, işin başlama veya bitme gününü, kendi adını ve soyadını yahut unvanını, adresini, varsa işveren vekili veya vekillerinin adı, soyadı ve adreslerini bir ay içinde bölge müdürlüğüne bildirmek zorundadır.",Genel Bilgilendirme ve Diğer
